epoch,loss,mAP_50,mAP_50_95,channels,lr,weight_decay,step_size,gamma
1,0.22154975346584097,0.30299970507621765,0.08963501453399658,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
2,0.1927466849422353,0.40928423404693604,0.12398158758878708,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
3,0.18335025960531753,0.43879371881484985,0.1397346407175064,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
4,0.18251090840651438,0.47905102372169495,0.16469676792621613,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
5,0.17510966155041233,0.5340884923934937,0.18806873261928558,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
6,0.1711153908768016,0.5519006252288818,0.19033809006214142,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
7,0.1680854299925586,0.5469988584518433,0.18203458189964294,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
8,0.1644108115066575,0.5774911642074585,0.2148580700159073,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
9,0.15448648208736354,0.6264634132385254,0.23370978236198425,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
10,0.15026967902468819,0.6428213119506836,0.253632515668869,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
11,0.15002489515030995,0.6442354321479797,0.2510834336280823,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
12,0.14972784890769383,0.6625101566314697,0.2629474699497223,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
13,0.14858223160362652,0.6481812596321106,0.24444302916526794,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
14,0.14819589567681155,0.6386052370071411,0.2506674826145172,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
15,0.14704957793856788,0.6565622687339783,0.2567642629146576,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
16,0.14694016754754588,0.6767237186431885,0.27456316351890564,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
17,0.13847976410363474,0.6816958785057068,0.2798771858215332,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
18,0.13893245891309702,0.6767988801002502,0.27519458532333374,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
19,0.13861109470773456,0.6802945137023926,0.28048446774482727,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
20,0.13707482695388487,0.6799747943878174,0.28289201855659485,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
21,0.13771825758183104,0.6738859415054321,0.2757111191749573,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
22,0.13414456013144335,0.6889986395835876,0.2839875817298889,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
23,0.13636893314174098,0.6860458850860596,0.28043025732040405,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
24,0.13510835811527622,0.6726453304290771,0.2800854444503784,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
25,0.13260075859088674,0.6731585264205933,0.2828739881515503,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
26,0.13229884933998698,0.6717528700828552,0.28107136487960815,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
27,0.1317168169646946,0.6889417767524719,0.29041624069213867,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
28,0.13334449156959596,0.6716797351837158,0.2848167419433594,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
29,0.1322915700272235,0.6897557973861694,0.2873062491416931,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
30,0.13135238975668564,0.6796478033065796,0.28345248103141785,"(32, 64, 128, 256)",0.0005,1e-05,8,0.3
