epoch,loss,mAP_50,mAP_50_95,channels,lr,weight_decay,step_size,gamma
1,0.22181722066468662,0.23323236405849457,0.061755988746881485,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
2,0.1973028835068401,0.3731837570667267,0.11295850574970245,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
3,0.19002996305497283,0.4447607696056366,0.1395522505044937,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
4,0.18167129452698505,0.4647689163684845,0.15670786798000336,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
5,0.1768588718966159,0.486482709646225,0.16767142713069916,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
6,0.17375544084506667,0.47709834575653076,0.16823552548885345,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
7,0.17027219127003962,0.526892900466919,0.1900981068611145,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
8,0.16540041903400013,0.5461145043373108,0.19814367592334747,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
9,0.1692437163243691,0.5741878747940063,0.21273115277290344,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
10,0.16374748728723607,0.5708379745483398,0.20387431979179382,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
11,0.15296524476546508,0.6509078145027161,0.2502623200416565,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
12,0.14819969203418645,0.6631463766098022,0.2601807713508606,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
13,0.14800776940826169,0.6623937487602234,0.2652589678764343,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
14,0.1463315415586162,0.6512340903282166,0.26034653186798096,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
15,0.14534836513205215,0.6705115437507629,0.26926353573799133,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
16,0.141011635080362,0.6663097143173218,0.27513056993484497,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
17,0.14161044385475227,0.6583329439163208,0.2728584408760071,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
18,0.14350459723072684,0.6608844995498657,0.264269083738327,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
19,0.14462335850311142,0.6483110189437866,0.26163730025291443,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
20,0.14168535613128516,0.6842294931411743,0.2775311768054962,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
21,0.14153020207284608,0.6737073659896851,0.27653154730796814,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
22,0.13886883424228838,0.6787646412849426,0.27745184302330017,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
23,0.13617181486617297,0.6817008852958679,0.2853708863258362,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
24,0.13786438281815022,0.6706756949424744,0.2725850045681,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
25,0.13786173225818282,0.6847655177116394,0.2821209132671356,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
26,0.13725952280319145,0.6688359379768372,0.2756776213645935,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
27,0.13643320026592567,0.681432843208313,0.2755880653858185,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
28,0.13759890344375983,0.6842086911201477,0.282732754945755,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
29,0.13458226574982843,0.6739083528518677,0.2758890986442566,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
30,0.13568900594822106,0.676994800567627,0.28084853291511536,"(32, 64, 128, 256)",0.001,1e-05,10,0.1
